TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,alpha,NAdelete,mmax,u2pd,skelmethod,conservative,majrule,solveconfl,numCores,verbose,indepTest,timeout
0.7,0,0,3,NA,0,0.3,7,3,0,35,10,10,35,unknown,1,pcalg_pc,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.099,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
1,0,0,0,NA,0,0,10,0,0,35,10,10,35,unknown,1,pcalg_pc,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.145,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.22972972972973,0.115384615384615,0.0405405405405405,30,NA,0,0.72972972972973,10,27,0,8,10,37,8,unknown,1,pcalg_pc,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.246,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.27027027027027,0.230769230769231,0.0810810810810811,30,NA,0.027027027027027,0.675675675675676,12,25,1,7,10,37,8,unknown,1,pcalg_pc,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.31,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.630434782608696,0.00847457627118644,0.0652173913043478,10,NA,0,0.304347826086957,16,7,0,167,20,23,167,unknown,1,pcalg_pc,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.12,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.717391304347826,0.00847457627118644,0.0652173913043478,8,NA,0,0.217391304347826,18,5,0,167,20,23,167,unknown,1,pcalg_pc,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.215,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.136986301369863,0.0708661417322835,0.123287671232877,72,NA,0.0684931506849315,0.808219178082192,14,59,5,112,20,73,117,unknown,1,pcalg_pc,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.274,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.136986301369863,0.133858267716535,0.232876712328767,80,NA,0.150684931506849,0.780821917808219,16,57,11,106,20,73,117,unknown,1,pcalg_pc,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.835,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.546296296296296,0.00710702341137124,0.157407407407407,33,NA,0.0555555555555556,0.351851851851852,35,19,3,1168,50,54,1171,unknown,1,pcalg_pc,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.44,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.722222222222222,0.00250836120401338,0.0555555555555556,18,NA,0.0185185185185185,0.240740740740741,41,13,1,1170,50,54,1171,unknown,1,pcalg_pc,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.825,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.103723404255319,0.0202448210922787,0.11436170212766,190,NA,0.0851063829787234,0.867021276595745,25,163,16,1021,50,188,1037,unknown,1,pcalg_pc,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,2.224,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.117021276595745,0.0225988700564972,0.127659574468085,190,NA,0.074468085106383,0.829787234042553,32,156,14,1023,50,188,1037,unknown,1,pcalg_pc,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.089,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.6875,0.0595238095238095,0.3125,5,NA,0,0,8,0,0,37,10,8,37,unknown,2,pcalg_pc,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.115,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
1,0,0,0,NA,0,0,8,0,0,37,10,8,37,unknown,2,pcalg_pc,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.139,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.191176470588235,0.21875,0.102941176470588,31,NA,0,0.705882352941177,10,24,0,11,10,34,11,unknown,2,pcalg_pc,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.094,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.176470588235294,0.3125,0.147058823529412,33,NA,0.0294117647058824,0.705882352941177,10,24,1,10,10,34,11,unknown,2,pcalg_pc,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.283,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.69047619047619,0.0195530726256983,0.166666666666667,10,NA,0,0.142857142857143,18,3,0,169,20,21,169,unknown,2,pcalg_pc,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.186,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.738095238095238,0.0307262569832402,0.261904761904762,11,NA,0.0476190476190476,0.0476190476190476,20,1,1,168,20,21,169,unknown,2,pcalg_pc,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.343,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.118421052631579,0.0806451612903226,0.131578947368421,77,NA,0.0921052631578947,0.842105263157895,12,64,7,107,20,76,114,unknown,2,pcalg_pc,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.412,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.111842105263158,0.0846774193548387,0.138157894736842,78,NA,0.0789473684210526,0.828947368421053,13,63,6,108,20,76,114,unknown,2,pcalg_pc,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.677,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.637254901960784,0.00542118432026689,0.127450980392157,25,NA,0,0.235294117647059,39,12,0,1174,50,51,1174,unknown,2,pcalg_pc,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.537,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.852941176470588,0.00291909924937448,0.0686274509803922,11,NA,0,0.0784313725490196,47,4,0,1174,50,51,1174,unknown,2,pcalg_pc,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.796,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.148936170212766,0.0178907721280603,0.101063829787234,179,NA,0.0531914893617021,0.803191489361702,37,151,10,1027,50,188,1037,unknown,2,pcalg_pc,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,1.443,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.156914893617021,0.018361581920904,0.103723404255319,178,NA,0.0478723404255319,0.787234042553192,40,148,9,1028,50,188,1037,unknown,2,pcalg_pc,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,3.978,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
1,0,0,0,NA,0,0,7,0,0,38,10,7,38,unknown,3,pcalg_pc,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.092,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
1,0,0,0,NA,0,0,7,0,0,38,10,7,38,unknown,3,pcalg_pc,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.13,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.147058823529412,0.3125,0.147058823529412,34,35,0.0588235294117647,0.764705882352941,8,26,2,9,10,34,11,dag,3,pcalg_pc,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.225,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.25,0.28125,0.132352941176471,30,NA,0.0294117647058824,0.647058823529412,12,22,1,10,10,34,11,unknown,3,pcalg_pc,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.322,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.684210526315789,0.0165745856353591,0.157894736842105,9,NA,0,0.157894736842105,16,3,0,171,20,19,171,unknown,3,pcalg_pc,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.226,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.894736842105263,0.00552486187845304,0.0526315789473684,3,NA,0,0.0526315789473684,18,1,0,171,20,19,171,unknown,3,pcalg_pc,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.237,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.0972222222222222,0.078125,0.138888888888889,75,NA,0.0555555555555556,0.819444444444444,13,59,4,114,20,72,118,unknown,3,pcalg_pc,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.431,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.0972222222222222,0.0546875,0.0972222222222222,72,NA,0.0416666666666667,0.847222222222222,11,61,3,115,20,72,118,unknown,3,pcalg_pc,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,1.515,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.715909090909091,0.00621890547263682,0.170454545454545,20,NA,0,0.113636363636364,39,5,0,1181,50,44,1181,unknown,3,pcalg_pc,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.289,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
0.965909090909091,0.00207296849087894,0.0568181818181818,4,NA,0.0227272727272727,0,44,0,1,1180,50,44,1181,unknown,3,pcalg_pc,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.641,NA,pc,0.01,True,Inf,relaxed,stable,False,False,False,1,False,gaussCItest,NA
