TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,alpha,test,datatype,timeout
0.8,0,0,2,2,0,0.2,8,2,0,35,10,10,35,dag,1,tetrad_fci,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.3,NA,fci,0.01,fisher-z-test,continuous,NA
1,0,0,0,0,0,0,10,0,0,35,10,10,35,dag,1,tetrad_fci,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,2.49,NA,fci,0.01,fisher-z-test,continuous,NA
0.256756756756757,0.269230769230769,0.0945945945945946,31,31,0,0.648648648648649,13,24,0,8,10,37,8,dag,1,tetrad_fci,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.61,NA,fci,0.01,fisher-z-test,continuous,NA
0.297297297297297,0.461538461538462,0.162162162162162,32,NA,0.027027027027027,0.567567567567568,16,21,1,7,10,37,8,unknown,1,tetrad_fci,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,3.77,NA,fci,0.01,fisher-z-test,continuous,NA
0.630434782608696,0.0141242937853107,0.108695652173913,11,12,0.0434782608695652,0.304347826086957,16,7,1,166,20,23,167,dag,1,tetrad_fci,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.05,NA,fci,0.01,fisher-z-test,continuous,NA
0.717391304347826,0.0141242937853107,0.108695652173913,9,10,0.0434782608695652,0.217391304347826,18,5,1,166,20,23,167,dag,1,tetrad_fci,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,8.02,NA,fci,0.01,fisher-z-test,continuous,NA
0.123287671232877,0.110236220472441,0.191780821917808,78,79,0.10958904109589,0.794520547945205,15,58,8,109,20,73,117,dag,1,tetrad_fci,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,5.2,NA,fci,0.01,fisher-z-test,continuous,NA
0.150684931506849,0.15748031496063,0.273972602739726,82,83,0.191780821917808,0.767123287671233,17,56,14,103,20,73,117,dag,1,tetrad_fci,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,9.46,NA,fci,0.01,fisher-z-test,continuous,NA
0.472222222222222,0.012123745819398,0.268518518518519,43,45,0.0925925925925926,0.351851851851852,35,19,5,1166,50,54,1171,dag,1,tetrad_fci,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,6.42,NA,fci,0.01,fisher-z-test,continuous,NA
0.638888888888889,0.00961538461538462,0.212962962962963,31,31,0.0740740740740741,0.222222222222222,42,12,4,1167,50,54,1171,dag,1,tetrad_fci,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,5.9,NA,fci,0.01,fisher-z-test,continuous,NA
0.11436170212766,0.0334274952919021,0.188829787234043,202,201,0.138297872340426,0.835106382978723,31,157,26,1011,50,188,1037,dag,1,tetrad_fci,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,5.64,NA,fci,0.01,fisher-z-test,continuous,NA
0.148936170212766,0.0404896421845574,0.228723404255319,203,204,0.170212765957447,0.792553191489362,39,149,32,1005,50,188,1037,dag,1,tetrad_fci,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,6.3,NA,fci,0.01,fisher-z-test,continuous,NA
0.5625,0.107142857142857,0.5625,8,9,0.125,0,8,0,1,36,10,8,37,dag,2,tetrad_fci,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.77,NA,fci,0.01,fisher-z-test,continuous,NA
0.875,0.0238095238095238,0.125,2,2,0,0,8,0,0,37,10,8,37,dag,2,tetrad_fci,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,6.64,NA,fci,0.01,fisher-z-test,continuous,NA
0.220588235294118,0.21875,0.102941176470588,30,30,0,0.676470588235294,11,23,0,11,10,34,11,dag,2,tetrad_fci,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,5.23,NA,fci,0.01,fisher-z-test,continuous,NA
0.220588235294118,0.46875,0.220588235294118,34,33,0.0588235294117647,0.617647058823529,13,21,2,9,10,34,11,dag,2,tetrad_fci,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,5.81,NA,fci,0.01,fisher-z-test,continuous,NA
0.714285714285714,0.0223463687150838,0.19047619047619,10,8,0.0476190476190476,0.142857142857143,18,3,1,168,20,21,169,dag,2,tetrad_fci,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.61,NA,fci,0.01,fisher-z-test,continuous,NA
