TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,faithfulnessAssumed,score,datatype,samplePrior,structurePrior,penaltyDiscount,timeout
1,0,0,0,NA,0,0,10,0,0,35,10,10,35,unknown,1,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,9.02,NA,fges,True,sem-bic,continuous,1,1,2,NA
1,0,0,0,NA,0,0,10,0,0,35,10,10,35,unknown,1,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,9.84,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.364864864864865,0.576923076923077,0.202702702702703,31,NA,0.027027027027027,0.459459459459459,20,17,1,7,10,37,8,unknown,1,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,5.9,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.486486486486487,0.923076923076923,0.324324324324324,31,26,0.135135135135135,0.324324324324324,25,12,5,3,10,37,8,dag,1,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,8.92,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.869565217391304,0.00564971751412429,0.0434782608695652,4,NA,0.0434782608695652,0.130434782608696,20,3,1,166,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,10.37,NA,fges,True,sem-bic,continuous,1,1,2,NA
1,0,0,0,NA,0,0,23,0,0,167,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,10.53,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.287671232876712,0.220472440944882,0.383561643835616,80,NA,0.315068493150685,0.643835616438356,26,47,23,94,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,12.13,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.479452054794521,0.251968503937008,0.438356164383562,70,NA,0.36986301369863,0.452054794520548,40,33,27,90,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,11.27,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.851851851851852,0.00250836120401338,0.0555555555555556,11,NA,0.0185185185185185,0.111111111111111,48,6,1,1170,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,10.96,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.981481481481482,0,0,1,NA,0,0.0185185185185185,53,1,0,1171,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,12.34,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.289893617021277,0.0748587570621469,0.422872340425532,213,NA,0.345744680851064,0.632978723404255,69,119,65,972,50,188,1037,unknown,1,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,12.81,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.462765957446808,0.109227871939736,0.617021276595745,217,NA,0.569148936170213,0.48936170212766,96,92,107,930,50,188,1037,unknown,1,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,15.12,NA,fges,True,sem-bic,continuous,1,1,2,NA
1,0,0,0,NA,0,0,8,0,0,37,10,8,37,unknown,2,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,10.38,NA,fges,True,sem-bic,continuous,1,1,2,NA
1,0,0,0,NA,0,0,8,0,0,37,10,8,37,unknown,2,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,6.24,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.338235294117647,0.53125,0.25,31,NA,0.147058823529412,0.558823529411765,15,19,5,6,10,34,11,unknown,2,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,5.09,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.382352941176471,0.6875,0.323529411764706,32,NA,0.147058823529412,0.441176470588235,19,15,5,6,10,34,11,unknown,2,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,3.7,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.857142857142857,0.0335195530726257,0.285714285714286,9,NA,0.238095238095238,0.0952380952380952,19,2,5,164,20,21,169,unknown,2,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,6.11,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.952380952380952,0,0,1,NA,0,0.0476190476190476,20,1,0,169,20,21,169,unknown,2,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,6.46,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.263157894736842,0.201612903225806,0.328947368421053,81,NA,0.223684210526316,0.631578947368421,28,48,17,97,20,76,114,unknown,2,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,7.98,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.486842105263158,0.32258064516129,0.526315789473684,79,NA,0.394736842105263,0.381578947368421,47,29,30,84,20,76,114,unknown,2,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,11.11,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.911764705882353,0.00208507089241034,0.0490196078431373,7,NA,0.0392156862745098,0.0784313725490196,47,4,2,1172,50,51,1174,unknown,2,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,12.33,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.96078431372549,0.000834028356964137,0.0196078431372549,3,NA,0.0196078431372549,0.0392156862745098,49,2,1,1173,50,51,1174,unknown,2,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,11.07,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.332446808510638,0.0645009416195857,0.36436170212766,194,NA,0.324468085106383,0.627659574468085,70,118,61,976,50,188,1037,unknown,2,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,13.2,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.462765957446808,0.0979284369114878,0.553191489361702,205,NA,0.484042553191489,0.468085106382979,100,88,91,946,50,188,1037,unknown,2,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,15.58,NA,fges,True,sem-bic,continuous,1,1,2,NA
1,0,0,0,NA,0,0,7,0,0,38,10,7,38,unknown,3,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,9.44,NA,fges,True,sem-bic,continuous,1,1,2,NA
1,0,0,0,NA,0,0,7,0,0,38,10,7,38,unknown,3,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,12.85,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.367647058823529,0.65625,0.308823529411765,32,NA,0.176470588235294,0.5,17,17,6,5,10,34,11,unknown,3,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,9.45,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.558823529411765,0.625,0.294117647058824,25,NA,0.147058823529412,0.294117647058824,24,10,5,6,10,34,11,unknown,3,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,10.24,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.921052631578947,0.00276243093922652,0.0263157894736842,2,NA,0,0.0526315789473684,18,1,0,171,20,19,171,unknown,3,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,11.27,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.921052631578947,0.0138121546961326,0.131578947368421,4,NA,0.105263157894737,0.0526315789473684,18,1,2,169,20,19,171,unknown,3,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,10.88,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.229166666666667,0.26171875,0.465277777777778,89,NA,0.333333333333333,0.638888888888889,26,46,24,94,20,72,118,unknown,3,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,7.99,NA,fges,True,sem-bic,continuous,1,1,2,NA
0.381944444444444,0.37890625,0.673611111111111,93,NA,0.5,0.444444444444444,40,32,36,82,20,72,118,unknown,3,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,12.76,NA,fges,True,sem-bic,continuous,1,1,2,NA
