TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,alpha,test,datatype,timeout
0.529411764705882,0.0229885057471264,0.0588235294117647,9,9,0.0588235294117647,0.470588235294118,9,8,1,37,11,17,38,dag,1,tetrad_fci,myadjmats/sachs,NA,fixed/filename=2005_sachs_2_cd3cd28icam2_log_std.csv/n=902,4.63,NA,fci,0.001,fisher-z-test,continuous,NA
0.529411764705882,0.0229885057471264,0.0588235294117647,9,9,0.0588235294117647,0.470588235294118,9,8,1,37,11,17,38,dag,1,tetrad_fci,myadjmats/sachs,NA,fixed/filename=2005_sachs_2_cd3cd28icam2_log_std.csv/n=902,5.67,NA,fci,0.002,fisher-z-test,continuous,NA
0.529411764705882,0.0229885057471264,0.0588235294117647,9,9,0.0588235294117647,0.470588235294118,9,8,1,37,11,17,38,dag,1,tetrad_fci,myadjmats/sachs,NA,fixed/filename=2005_sachs_2_cd3cd28icam2_log_std.csv/n=902,4.69,NA,fci,0.005,fisher-z-test,continuous,NA
0.529411764705882,0.0229885057471264,0.0588235294117647,9,9,0.0588235294117647,0.470588235294118,9,8,1,37,11,17,38,dag,1,tetrad_fci,myadjmats/sachs,NA,fixed/filename=2005_sachs_2_cd3cd28icam2_log_std.csv/n=902,4.54,NA,fci,0.01,fisher-z-test,continuous,NA
0.529411764705882,0.0229885057471264,0.0588235294117647,9,9,0.0588235294117647,0.470588235294118,9,8,1,37,11,17,38,dag,1,tetrad_fci,myadjmats/sachs,NA,fixed/filename=2005_sachs_2_cd3cd28icam2_log_std.csv/n=902,4.19,NA,fci,0.02,fisher-z-test,continuous,NA
0.5,0.0574712643678161,0.147058823529412,11,11,0.117647058823529,0.470588235294118,9,8,2,36,11,17,38,dag,1,tetrad_fci,myadjmats/sachs,NA,fixed/filename=2005_sachs_2_cd3cd28icam2_log_std.csv/n=902,4.05,NA,fci,0.05,fisher-z-test,continuous,NA
0.470588235294118,0.0689655172413793,0.176470588235294,12,12,0.117647058823529,0.470588235294118,9,8,2,36,11,17,38,dag,1,tetrad_fci,myadjmats/sachs,NA,fixed/filename=2005_sachs_2_cd3cd28icam2_log_std.csv/n=902,3.84,NA,fci,0.1,fisher-z-test,continuous,NA
0.382352941176471,0.172413793103448,0.441176470588235,18,18,0.294117647058824,0.470588235294118,9,8,5,33,11,17,38,dag,1,tetrad_fci,myadjmats/sachs,NA,fixed/filename=2005_sachs_2_cd3cd28icam2_log_std.csv/n=902,3.43,NA,fci,0.2,fisher-z-test,continuous,NA
0.382352941176471,0.172413793103448,0.441176470588235,18,18,0.294117647058824,0.470588235294118,9,8,5,33,11,17,38,dag,1,tetrad_fci,myadjmats/sachs,NA,fixed/filename=2005_sachs_2_cd3cd28icam2_log_std.csv/n=902,3.66,NA,fci,0.3,fisher-z-test,continuous,NA
0.382352941176471,0.241379310344828,0.617647058823529,21,23,0.470588235294118,0.470588235294118,9,8,8,30,11,17,38,dag,1,tetrad_fci,myadjmats/sachs,NA,fixed/filename=2005_sachs_2_cd3cd28icam2_log_std.csv/n=902,3.7,NA,fci,0.5,fisher-z-test,continuous,NA
