TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,faithfulnessAssumed,score,datatype,samplePrior,structurePrior,penaltyDiscount,timeout
0.907407407407407,0.0326086956521739,0.722222222222222,44,NA,0.62962962962963,0,54,0,34,1137,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,9.05,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.916666666666667,0.0296822742474916,0.657407407407407,40,NA,0.574074074074074,0,54,0,31,1140,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,16.83,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.990740740740741,0.00877926421404682,0.194444444444444,11,NA,0.185185185185185,0,54,0,10,1161,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,9.06,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
1,0.00418060200668896,0.0925925925925926,5,NA,0.0925925925925926,0,54,0,5,1166,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,47.53,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0.000836120401337793,0.0185185185185185,1,NA,0.0185185185185185,0,54,0,1,1170,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,18.3,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0.000836120401337793,0.0185185185185185,1,NA,0.0185185185185185,0,54,0,1,1170,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,17.83,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
1,0,0,0,NA,0,0,54,0,0,1171,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,8.35,NA,fges,True,sem-bic,continuous,1,1,1,NA
1,0,0,0,NA,0,0,54,0,0,1171,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,8.92,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.92156862745098,0.0316930775646372,0.745098039215686,42,NA,0.666666666666667,0,51,0,34,1140,50,51,1174,unknown,2,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,19.6,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.92156862745098,0.0291909924937448,0.686274509803922,39,NA,0.607843137254902,0,51,0,31,1143,50,51,1174,unknown,2,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,14.03,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.980392156862745,0.00917431192660551,0.215686274509804,12,NA,0.196078431372549,0,51,0,10,1164,50,51,1174,unknown,2,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,13.26,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.990196078431373,0.00375312760633862,0.0882352941176471,5,NA,0.0784313725490196,0,51,0,4,1170,50,51,1174,unknown,2,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,13.41,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0.000834028356964137,0.0196078431372549,1,NA,0.0196078431372549,0,51,0,1,1173,50,51,1174,unknown,2,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,15.07,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0,0,0,NA,0,0,51,0,0,1174,50,51,1174,unknown,2,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,16.06,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
1,0,0,0,NA,0,0,51,0,0,1174,50,51,1174,unknown,2,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,14.68,NA,fges,True,sem-bic,continuous,1,1,1,NA
1,0,0,0,NA,0,0,51,0,0,1174,50,51,1174,unknown,2,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,12.96,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.886363636363636,0.0447761194029851,1.22727272727273,59,NA,1.11363636363636,0,44,0,49,1132,50,44,1181,unknown,3,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,14.91,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.897727272727273,0.0377280265339967,1.03409090909091,50,NA,0.931818181818182,0,44,0,41,1140,50,44,1181,unknown,3,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,16.73,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.965909090909091,0.0178275290215589,0.488636363636364,23,NA,0.454545454545455,0,44,0,20,1161,50,44,1181,unknown,3,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,8.07,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
1,0.00580431177446103,0.159090909090909,7,NA,0.159090909090909,0,44,0,7,1174,50,44,1181,unknown,3,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,8.49,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0.00165837479270315,0.0454545454545455,2,NA,0.0454545454545455,0,44,0,2,1179,50,44,1181,unknown,3,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,8.35,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0.000829187396351575,0.0227272727272727,1,NA,0.0227272727272727,0,44,0,1,1180,50,44,1181,unknown,3,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,8.25,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
1,0,0,0,NA,0,0,44,0,0,1181,50,44,1181,unknown,3,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,11.03,NA,fges,True,sem-bic,continuous,1,1,1,NA
1,0,0,0,NA,0,0,44,0,0,1181,50,44,1181,unknown,3,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,22.9,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.927272727272727,0.0468619246861925,1.01818181818182,60,NA,0.945454545454545,0,55,0,52,1118,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,9.09,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.927272727272727,0.0426778242677824,0.927272727272727,55,NA,0.854545454545454,0,55,0,47,1123,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,42.77,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.963636363636364,0.0192468619246862,0.418181818181818,25,NA,0.381818181818182,0,55,0,21,1149,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,8.21,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.990909090909091,0.00627615062761506,0.136363636363636,8,NA,0.127272727272727,0,55,0,7,1163,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,16.63,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0.000836820083682008,0.0181818181818182,1,NA,0.0181818181818182,0,55,0,1,1169,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,13.06,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0,0,0,NA,0,0,55,0,0,1170,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,16.4,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
1,0,0,0,NA,0,0,55,0,0,1170,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,18.22,NA,fges,True,sem-bic,continuous,1,1,1,NA
