TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,thresh,random_state,max_iter,timeout
0.7,0.45,1.8,21,22,1.5,0,10,0,15,20,10,10,35,dag,1,gcastle_ica_lingam,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.274844309315085,NA,lingam,0.001,NA,100,NA
0.6,0.575,2.3,27,27,1.9,0,10,0,19,16,10,10,35,dag,1,gcastle_ica_lingam,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.14834295772016,NA,lingam,0.001,NA,100,NA
0.5,1.57692307692308,0.554054054054054,39,40,0.162162162162162,0.108108108108108,33,4,6,2,10,37,8,dag,1,gcastle_ica_lingam,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.188423976302147,NA,lingam,0.001,NA,100,NA
0.689189189189189,1.5,0.527027027027027,31,40,0.216216216216216,0,37,0,8,0,10,37,8,dag,1,gcastle_ica_lingam,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.168875213712454,NA,lingam,0.001,NA,100,NA
0.652173913043478,0.282485875706215,2.17391304347826,58,57,1.82608695652174,0,23,0,42,125,20,23,167,dag,1,gcastle_ica_lingam,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.273861093446612,NA,lingam,0.001,NA,100,NA
0.739130434782609,0.248587570621469,1.91304347826087,50,53,1.65217391304348,0,23,0,38,129,20,23,167,dag,1,gcastle_ica_lingam,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.459492376074195,NA,lingam,0.001,NA,100,NA
0.479452054794521,0.968503937007874,1.68493150684932,161,159,1.3013698630137,0.136986301369863,63,10,95,22,20,73,117,dag,1,gcastle_ica_lingam,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,0.574093392118812,NA,lingam,0.001,NA,100,NA
0.534246575342466,1.05511811023622,1.83561643835616,168,163,1.41095890410959,0.0410958904109589,70,3,103,14,20,73,117,dag,1,gcastle_ica_lingam,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,0.572937183082104,NA,lingam,0.001,NA,100,NA
0.777777777777778,0.12123745819398,2.68518518518519,157,163,2.46296296296296,0,54,0,133,1038,50,54,1171,dag,1,gcastle_ica_lingam,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,1.31796032004058,NA,lingam,0.001,NA,100,NA
0.675925925925926,0.142558528428094,3.15740740740741,188,195,2.85185185185185,0.0185185185185185,53,1,154,1017,50,54,1171,dag,1,gcastle_ica_lingam,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,2.108294185251,NA,lingam,0.001,NA,100,NA
