TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,alpha,test,datatype,timeout
0.55,0.0375,0.15,6,6,0,0.3,7,3,0,35,10,10,35,dag,1,tetrad_fci,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.36,NA,fci,0.001,fisher-z-test,continuous,NA
0.85,0.0125,0.05,2,3,0,0.1,9,1,0,35,10,10,35,dag,1,tetrad_fci,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,3.92,NA,fci,0.001,fisher-z-test,continuous,NA
0.175675675675676,0.269230769230769,0.0945945945945946,34,33,0.027027027027027,0.756756756756757,9,28,1,7,10,37,8,dag,1,tetrad_fci,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,2.83,NA,fci,0.001,fisher-z-test,continuous,NA
0.283783783783784,0.423076923076923,0.148648648648649,32,NA,0.027027027027027,0.594594594594595,15,22,1,7,10,37,8,unknown,1,tetrad_fci,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.18,NA,fci,0.001,fisher-z-test,continuous,NA
0.5,0.019774011299435,0.152173913043478,15,13,0,0.347826086956522,15,8,0,167,20,23,167,dag,1,tetrad_fci,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.29,NA,fci,0.001,fisher-z-test,continuous,NA
0.652173913043478,0.0225988700564972,0.173913043478261,12,12,0.0434782608695652,0.217391304347826,18,5,1,166,20,23,167,dag,1,tetrad_fci,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,3.69,NA,fci,0.001,fisher-z-test,continuous,NA
0.0958904109589041,0.094488188976378,0.164383561643836,78,NA,0.0958904109589041,0.835616438356164,12,61,7,110,20,73,117,unknown,1,tetrad_fci,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.79,NA,fci,0.001,fisher-z-test,continuous,NA
0.164383561643836,0.141732283464567,0.246575342465753,79,NA,0.150684931506849,0.73972602739726,19,54,11,106,20,73,117,unknown,1,tetrad_fci,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,6.74,NA,fci,0.001,fisher-z-test,continuous,NA
0.416666666666667,0.0104515050167224,0.231481481481481,44,46,0.037037037037037,0.388888888888889,33,21,2,1169,50,54,1171,dag,1,tetrad_fci,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,5.11,NA,fci,0.001,fisher-z-test,continuous,NA
0.712962962962963,0.00710702341137124,0.157407407407407,24,27,0.0740740740740741,0.203703703703704,43,11,4,1167,50,54,1171,dag,1,tetrad_fci,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,5.72,NA,fci,0.001,fisher-z-test,continuous,NA
0.11436170212766,0.0268361581920904,0.151595744680851,195,197,0.111702127659574,0.845744680851064,29,159,21,1016,50,188,1037,dag,1,tetrad_fci,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,5.62,NA,fci,0.001,fisher-z-test,continuous,NA
0.13031914893617,0.0371939736346516,0.210106382978723,203,202,0.154255319148936,0.813829787234043,35,153,29,1008,50,188,1037,dag,1,tetrad_fci,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,6.76,NA,fci,0.001,fisher-z-test,continuous,NA
0.55,0.0375,0.15,6,6,0,0.3,7,3,0,35,10,10,35,dag,1,tetrad_fci,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.85,NA,fci,0.002,fisher-z-test,continuous,NA
0.85,0.0125,0.05,2,3,0,0.1,9,1,0,35,10,10,35,dag,1,tetrad_fci,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.01,NA,fci,0.002,fisher-z-test,continuous,NA
0.216216216216216,0.307692307692308,0.108108108108108,33,31,0.027027027027027,0.702702702702703,11,26,1,7,10,37,8,dag,1,tetrad_fci,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.72,NA,fci,0.002,fisher-z-test,continuous,NA
0.283783783783784,0.423076923076923,0.148648648648649,32,NA,0.027027027027027,0.594594594594595,15,22,1,7,10,37,8,unknown,1,tetrad_fci,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,3.78,NA,fci,0.002,fisher-z-test,continuous,NA
0.5,0.019774011299435,0.152173913043478,15,13,0,0.347826086956522,15,8,0,167,20,23,167,dag,1,tetrad_fci,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.92,NA,fci,0.002,fisher-z-test,continuous,NA
0.652173913043478,0.0225988700564972,0.173913043478261,12,12,0.0434782608695652,0.217391304347826,18,5,1,166,20,23,167,dag,1,tetrad_fci,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,3.96,NA,fci,0.002,fisher-z-test,continuous,NA
0.116438356164384,0.106299212598425,0.184931506849315,78,NA,0.123287671232877,0.821917808219178,13,60,9,108,20,73,117,unknown,1,tetrad_fci,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,5.05,NA,fci,0.002,fisher-z-test,continuous,NA
0.164383561643836,0.133858267716535,0.232876712328767,78,NA,0.150684931506849,0.753424657534247,18,55,11,106,20,73,117,unknown,1,tetrad_fci,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.83,NA,fci,0.002,fisher-z-test,continuous,NA
0.453703703703704,0.00961538461538462,0.212962962962963,41,45,0.037037037037037,0.37037037037037,34,20,2,1169,50,54,1171,dag,1,tetrad_fci,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,6.45,NA,fci,0.002,fisher-z-test,continuous,NA
0.638888888888889,0.00961538461538462,0.212962962962963,31,32,0.0740740740740741,0.222222222222222,42,12,4,1167,50,54,1171,dag,1,tetrad_fci,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,5.71,NA,fci,0.002,fisher-z-test,continuous,NA
0.122340425531915,0.0244821092278719,0.138297872340426,191,192,0.0904255319148936,0.829787234042553,32,156,17,1020,50,188,1037,dag,1,tetrad_fci,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,6.07,NA,fci,0.002,fisher-z-test,continuous,NA
0.132978723404255,0.0386064030131827,0.218085106382979,204,205,0.170212765957447,0.819148936170213,34,154,32,1005,50,188,1037,dag,1,tetrad_fci,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,9.2,NA,fci,0.002,fisher-z-test,continuous,NA
0.55,0.0375,0.15,6,6,0,0.3,7,3,0,35,10,10,35,dag,1,tetrad_fci,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.62,NA,fci,0.005,fisher-z-test,continuous,NA
1,0,0,0,0,0,0,10,0,0,35,10,10,35,dag,1,tetrad_fci,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.65,NA,fci,0.005,fisher-z-test,continuous,NA
0.22972972972973,0.346153846153846,0.121621621621622,33,33,0.027027027027027,0.675675675675676,12,25,1,7,10,37,8,dag,1,tetrad_fci,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.23,NA,fci,0.005,fisher-z-test,continuous,NA
0.283783783783784,0.423076923076923,0.148648648648649,32,NA,0.027027027027027,0.594594594594595,15,22,1,7,10,37,8,unknown,1,tetrad_fci,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.67,NA,fci,0.005,fisher-z-test,continuous,NA
0.630434782608696,0.0141242937853107,0.108695652173913,11,12,0.0434782608695652,0.304347826086957,16,7,1,166,20,23,167,dag,1,tetrad_fci,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.57,NA,fci,0.005,fisher-z-test,continuous,NA
0.717391304347826,0.0141242937853107,0.108695652173913,9,10,0.0434782608695652,0.217391304347826,18,5,1,166,20,23,167,dag,1,tetrad_fci,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.45,NA,fci,0.005,fisher-z-test,continuous,NA
0.116438356164384,0.106299212598425,0.184931506849315,78,NA,0.123287671232877,0.821917808219178,13,60,9,108,20,73,117,unknown,1,tetrad_fci,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.59,NA,fci,0.005,fisher-z-test,continuous,NA
