TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,faithfulnessAssumed,score,datatype,samplePrior,structurePrior,penaltyDiscount,timeout
0.95,0.0875,0.35,4,NA,0.3,0,10,0,3,32,10,10,35,unknown,1,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,6.94,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
1,0.025,0.1,1,NA,0.1,0,10,0,1,34,10,10,35,unknown,1,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,6.48,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.527027027027027,1.19230769230769,0.418918918918919,33,NA,0.162162162162162,0.216216216216216,29,8,6,2,10,37,8,unknown,1,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.65,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.635135135135135,1.03846153846154,0.364864864864865,27,NA,0.0540540540540541,0.0540540540540541,35,2,2,6,10,37,8,unknown,1,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.73,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
1,0.0395480225988701,0.304347826086957,7,NA,0.304347826086957,0,23,0,7,160,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.67,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.978260869565217,0.0141242937853107,0.108695652173913,3,NA,0.0869565217391304,0,23,0,2,165,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,5.68,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.650684931506849,0.523622047244094,0.910958904109589,92,NA,0.767123287671233,0.205479452054795,58,15,56,61,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,8.48,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.664383561643836,0.65748031496063,1.14383561643836,108,NA,0.917808219178082,0.10958904109589,65,8,67,50,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,11.18,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.824074074074074,0.0397157190635452,0.87962962962963,57,NA,0.740740740740741,0.037037037037037,52,2,40,1131,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,5.1,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.916666666666667,0.0413879598662207,0.916666666666667,54,NA,0.833333333333333,0,54,0,45,1126,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,5.49,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
