TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,faithfulnessAssumed,score,datatype,samplePrior,structurePrior,penaltyDiscount,timeout
0.395833333333333,0.383522727272727,2.8125,82,NA,2.54166666666667,0.333333333333333,16,8,61,105,20,24,166,unknown,1,tetrad_fges,myadjmats/syntren_dag_1,NA,fixed/filename=syntren_data_std_1.csv/n=500,8.65,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.375,0.375,2.75,81,NA,2.5,0.375,15,9,60,106,20,24,166,unknown,1,tetrad_fges,myadjmats/syntren_dag_1,NA,fixed/filename=syntren_data_std_1.csv/n=500,7,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.354166666666667,0.315340909090909,2.3125,71,NA,2.125,0.458333333333333,13,11,51,115,20,24,166,unknown,1,tetrad_fges,myadjmats/syntren_dag_1,NA,fixed/filename=syntren_data_std_1.csv/n=500,9.05,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.375,0.272727272727273,2,63,NA,1.83333333333333,0.458333333333333,13,11,44,122,20,24,166,unknown,1,tetrad_fges,myadjmats/syntren_dag_1,NA,fixed/filename=syntren_data_std_1.csv/n=500,6.83,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.375,0.244318181818182,1.79166666666667,58,NA,1.625,0.458333333333333,13,11,39,127,20,24,166,unknown,1,tetrad_fges,myadjmats/syntren_dag_1,NA,fixed/filename=syntren_data_std_1.csv/n=500,8.49,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.3125,0.196022727272727,1.4375,51,NA,1.29166666666667,0.541666666666667,11,13,31,135,20,24,166,unknown,1,tetrad_fges,myadjmats/syntren_dag_1,NA,fixed/filename=syntren_data_std_1.csv/n=500,6.96,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.3125,0.184659090909091,1.35416666666667,49,NA,1.20833333333333,0.541666666666667,11,13,29,137,20,24,166,unknown,1,tetrad_fges,myadjmats/syntren_dag_1,NA,fixed/filename=syntren_data_std_1.csv/n=500,7,NA,fges,True,sem-bic,continuous,1,1,1,NA
0.354166666666667,0.173295454545455,1.27083333333333,46,NA,1.125,0.5,12,12,27,139,20,24,166,unknown,1,tetrad_fges,myadjmats/syntren_dag_1,NA,fixed/filename=syntren_data_std_1.csv/n=500,8.33,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.522727272727273,0.469101123595506,3.79545454545455,94,NA,3.54545454545455,0.227272727272727,17,5,78,90,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_2,NA,fixed/filename=syntren_data_std_2.csv/n=500,9.08,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.522727272727273,0.452247191011236,3.65909090909091,91,NA,3.36363636363636,0.181818181818182,18,4,74,94,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_2,NA,fixed/filename=syntren_data_std_2.csv/n=500,9.48,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.545454545454545,0.337078651685393,2.72727272727273,70,NA,2.59090909090909,0.318181818181818,15,7,57,111,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_2,NA,fixed/filename=syntren_data_std_2.csv/n=500,8.66,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.431818181818182,0.300561797752809,2.43181818181818,66,NA,2.27272727272727,0.409090909090909,13,9,50,118,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_2,NA,fixed/filename=syntren_data_std_2.csv/n=500,7.01,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.340909090909091,0.26123595505618,2.11363636363636,61,NA,2,0.545454545454545,10,12,44,124,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_2,NA,fixed/filename=syntren_data_std_2.csv/n=500,9.08,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.409090909090909,0.207865168539326,1.68181818181818,50,NA,1.59090909090909,0.5,11,11,35,133,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_2,NA,fixed/filename=syntren_data_std_2.csv/n=500,8.67,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.409090909090909,0.207865168539326,1.68181818181818,50,NA,1.59090909090909,0.5,11,11,35,133,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_2,NA,fixed/filename=syntren_data_std_2.csv/n=500,8.13,NA,fges,True,sem-bic,continuous,1,1,1,NA
0.386363636363636,0.205056179775281,1.65909090909091,50,NA,1.59090909090909,0.545454545454545,10,12,35,133,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_2,NA,fixed/filename=syntren_data_std_2.csv/n=500,7.64,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.461538461538462,0.402298850574713,2.69230769230769,84,NA,2.53846153846154,0.384615384615385,16,10,66,98,20,26,164,unknown,1,tetrad_fges,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,9.05,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.461538461538462,0.402298850574713,2.69230769230769,84,NA,2.53846153846154,0.384615384615385,16,10,66,98,20,26,164,unknown,1,tetrad_fges,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,8.46,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.403846153846154,0.330459770114943,2.21153846153846,73,NA,2.03846153846154,0.423076923076923,15,11,53,111,20,26,164,unknown,1,tetrad_fges,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,7.24,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.403846153846154,0.267241379310345,1.78846153846154,62,NA,1.69230769230769,0.5,13,13,44,120,20,26,164,unknown,1,tetrad_fges,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,7.74,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.403846153846154,0.221264367816092,1.48076923076923,54,NA,1.34615384615385,0.461538461538462,14,12,35,129,20,26,164,unknown,1,tetrad_fges,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,7.21,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.403846153846154,0.204022988505747,1.36538461538462,51,NA,1.26923076923077,0.5,13,13,33,131,20,26,164,unknown,1,tetrad_fges,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,7.6,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.384615384615385,0.195402298850575,1.30769230769231,50,NA,1.23076923076923,0.538461538461538,12,14,32,132,20,26,164,unknown,1,tetrad_fges,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,8.58,NA,fges,True,sem-bic,continuous,1,1,1,NA
0.384615384615385,0.17816091954023,1.19230769230769,47,NA,1.11538461538462,0.538461538461538,12,14,29,135,20,26,164,unknown,1,tetrad_fges,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,7.82,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.602941176470588,0.436746987951807,2.13235294117647,86,NA,1.97058823529412,0.235294117647059,26,8,67,89,20,34,156,unknown,1,tetrad_fges,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,9.51,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.573529411764706,0.406626506024096,1.98529411764706,82,NA,1.82352941176471,0.264705882352941,25,9,62,94,20,34,156,unknown,1,tetrad_fges,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,11.19,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.5,0.331325301204819,1.61764705882353,72,NA,1.47058823529412,0.352941176470588,22,12,50,106,20,34,156,unknown,1,tetrad_fges,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,8.02,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.470588235294118,0.307228915662651,1.5,69,NA,1.38235294117647,0.411764705882353,20,14,47,109,20,34,156,unknown,1,tetrad_fges,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,9.23,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.397058823529412,0.268072289156627,1.30882352941176,65,NA,1.23529411764706,0.529411764705882,16,18,42,114,20,34,156,unknown,1,tetrad_fges,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,10.16,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.279411764705882,0.231927710843373,1.13235294117647,63,NA,1.02941176470588,0.617647058823529,13,21,35,121,20,34,156,unknown,1,tetrad_fges,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,7.41,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.279411764705882,0.213855421686747,1.04411764705882,60,NA,0.970588235294118,0.647058823529412,12,22,33,123,20,34,156,unknown,1,tetrad_fges,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,7.49,NA,fges,True,sem-bic,continuous,1,1,1,NA
0.279411764705882,0.19578313253012,0.955882352941177,57,NA,0.882352941176471,0.647058823529412,12,22,30,126,20,34,156,unknown,1,tetrad_fges,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,6.41,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.58695652173913,0.268361581920904,2.06521739130435,57,NA,1.91304347826087,0.260869565217391,17,6,44,123,20,23,167,unknown,1,tetrad_fges,myadjmats/syntren_dag_5,NA,fixed/filename=syntren_data_std_5.csv/n=500,7.66,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.58695652173913,0.251412429378531,1.93478260869565,54,NA,1.78260869565217,0.260869565217391,17,6,41,126,20,23,167,unknown,1,tetrad_fges,myadjmats/syntren_dag_5,NA,fixed/filename=syntren_data_std_5.csv/n=500,6.82,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.608695652173913,0.203389830508475,1.56521739130435,45,NA,1.43478260869565,0.260869565217391,17,6,33,134,20,23,167,unknown,1,tetrad_fges,myadjmats/syntren_dag_5,NA,fixed/filename=syntren_data_std_5.csv/n=500,6.24,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.565217391304348,0.180790960451977,1.39130434782609,42,NA,1.26086956521739,0.304347826086957,16,7,29,138,20,23,167,unknown,1,tetrad_fges,myadjmats/syntren_dag_5,NA,fixed/filename=syntren_data_std_5.csv/n=500,7.65,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.565217391304348,0.15819209039548,1.21739130434783,38,NA,1.08695652173913,0.304347826086957,16,7,25,142,20,23,167,unknown,1,tetrad_fges,myadjmats/syntren_dag_5,NA,fixed/filename=syntren_data_std_5.csv/n=500,7.3,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.58695652173913,0.138418079096045,1.06521739130435,34,NA,0.956521739130435,0.304347826086957,16,7,22,145,20,23,167,unknown,1,tetrad_fges,myadjmats/syntren_dag_5,NA,fixed/filename=syntren_data_std_5.csv/n=500,7.37,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.58695652173913,0.127118644067797,0.978260869565217,32,NA,0.869565217391304,0.304347826086957,16,7,20,147,20,23,167,unknown,1,tetrad_fges,myadjmats/syntren_dag_5,NA,fixed/filename=syntren_data_std_5.csv/n=500,7.45,NA,fges,True,sem-bic,continuous,1,1,1,NA
0.543478260869565,0.127118644067797,0.978260869565217,33,NA,0.869565217391304,0.347826086956522,15,8,20,147,20,23,167,unknown,1,tetrad_fges,myadjmats/syntren_dag_5,NA,fixed/filename=syntren_data_std_5.csv/n=500,6.76,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.636363636363636,0.415730337078652,3.36363636363636,82,NA,3.09090909090909,0.0909090909090909,20,2,68,100,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_6,NA,fixed/filename=syntren_data_std_6.csv/n=500,9.33,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.590909090909091,0.410112359550562,3.31818181818182,82,NA,3.04545454545455,0.136363636363636,19,3,67,101,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_6,NA,fixed/filename=syntren_data_std_6.csv/n=500,9.96,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.568181818181818,0.345505617977528,2.79545454545455,71,NA,2.5,0.136363636363636,19,3,55,113,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_6,NA,fixed/filename=syntren_data_std_6.csv/n=500,7.75,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.454545454545455,0.303370786516854,2.45454545454545,66,NA,2.18181818181818,0.272727272727273,16,6,48,120,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_6,NA,fixed/filename=syntren_data_std_6.csv/n=500,7.81,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.454545454545455,0.252808988764045,2.04545454545455,57,NA,1.81818181818182,0.318181818181818,15,7,40,128,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_6,NA,fixed/filename=syntren_data_std_6.csv/n=500,8.42,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.386363636363636,0.210674157303371,1.70454545454545,51,NA,1.5,0.409090909090909,13,9,33,135,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_6,NA,fixed/filename=syntren_data_std_6.csv/n=500,7.45,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.363636363636364,0.202247191011236,1.63636363636364,50,NA,1.45454545454545,0.454545454545455,12,10,32,136,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_6,NA,fixed/filename=syntren_data_std_6.csv/n=500,8.09,NA,fges,True,sem-bic,continuous,1,1,1,NA
0.363636363636364,0.185393258426966,1.5,47,NA,1.31818181818182,0.454545454545455,12,10,29,139,20,22,168,unknown,1,tetrad_fges,myadjmats/syntren_dag_6,NA,fixed/filename=syntren_data_std_6.csv/n=500,7.81,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.6,0.333333333333333,3,68,NA,2.75,0.15,17,3,55,115,20,20,170,unknown,1,tetrad_fges,myadjmats/syntren_dag_7,NA,fixed/filename=syntren_data_std_7.csv/n=500,9.24,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.6,0.333333333333333,3,68,NA,2.75,0.15,17,3,55,115,20,20,170,unknown,1,tetrad_fges,myadjmats/syntren_dag_7,NA,fixed/filename=syntren_data_std_7.csv/n=500,8.45,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.55,0.305555555555556,2.75,64,NA,2.5,0.2,16,4,50,120,20,20,170,unknown,1,tetrad_fges,myadjmats/syntren_dag_7,NA,fixed/filename=syntren_data_std_7.csv/n=500,9.82,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.5,0.266666666666667,2.4,58,NA,2.25,0.35,13,7,45,125,20,20,170,unknown,1,tetrad_fges,myadjmats/syntren_dag_7,NA,fixed/filename=syntren_data_std_7.csv/n=500,8.01,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.4,0.222222222222222,2,52,NA,1.9,0.5,10,10,38,132,20,20,170,unknown,1,tetrad_fges,myadjmats/syntren_dag_7,NA,fixed/filename=syntren_data_std_7.csv/n=500,7.18,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.4,0.205555555555556,1.85,49,NA,1.75,0.5,10,10,35,135,20,20,170,unknown,1,tetrad_fges,myadjmats/syntren_dag_7,NA,fixed/filename=syntren_data_std_7.csv/n=500,7.19,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
